System check identified some issues:

WARNINGS:
assistencias.Cliente.assistencias: (fields.W340) null has no effect on ManyToManyField.

System check identified 1 issue (0 silenced).
[01/Mar/2018 10:41:00] "GET /admin/ HTTP/1.1" 302 0
[01/Mar/2018 10:41:00] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1849
[01/Mar/2018 10:41:00] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[01/Mar/2018 10:41:00] "GET /static/admin/css/login.css HTTP/1.1" 304 0
[01/Mar/2018 10:41:00] "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[01/Mar/2018 10:41:00] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[01/Mar/2018 10:41:00] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
[01/Mar/2018 10:41:00] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
[01/Mar/2018 10:41:04] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[01/Mar/2018 10:41:04] "GET /admin/ HTTP/1.1" 200 8372
[01/Mar/2018 10:41:04] "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[01/Mar/2018 10:41:04] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[01/Mar/2018 10:41:04] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[01/Mar/2018 10:41:04] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /admin/assistencias/cliente/ HTTP/1.1" 200 6503
[01/Mar/2018 10:41:06] "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[01/Mar/2018 10:41:06] "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /static/admin/img/search.svg HTTP/1.1" 304 0
[01/Mar/2018 10:41:06] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
[01/Mar/2018 10:41:08] "GET /admin/assistencias/cliente/2/change/ HTTP/1.1" 200 24085
[01/Mar/2018 10:41:08] "GET /static/admin/js/inlines.js HTTP/1.1" 200 13673
[01/Mar/2018 10:41:08] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[01/Mar/2018 10:41:08] "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:08] "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[01/Mar/2018 10:41:08] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:08] "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:08] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[01/Mar/2018 10:41:08] "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[01/Mar/2018 10:41:08] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
[01/Mar/2018 12:54:03] "GET /admin HTTP/1.1" 301 0
[01/Mar/2018 12:54:07] "GET /admin/ HTTP/1.1" 302 0
[01/Mar/2018 12:54:07] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1849
[01/Mar/2018 12:54:07] "GET /static/admin/css/base.css HTTP/1.1" 200 16106
[01/Mar/2018 12:54:07] "GET /static/admin/css/login.css HTTP/1.1" 200 1203
[01/Mar/2018 12:54:07] "GET /static/admin/css/responsive.css HTTP/1.1" 200 17894
[01/Mar/2018 12:54:08] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
Not Found: /favicon.ico
[01/Mar/2018 12:54:10] "GET /favicon.ico HTTP/1.1" 404 2093
[01/Mar/2018 12:54:17] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[01/Mar/2018 12:54:17] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[01/Mar/2018 12:54:18] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[01/Mar/2018 12:54:18] "GET /admin/ HTTP/1.1" 200 8372
[01/Mar/2018 12:54:29] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 412
[01/Mar/2018 12:54:32] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[01/Mar/2018 12:54:32] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[01/Mar/2018 12:54:45] "GET /admin/assistencias/cliente/ HTTP/1.1" 200 6503
[01/Mar/2018 12:54:47] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 82564
[01/Mar/2018 12:54:47] "GET /static/admin/css/changelists.css HTTP/1.1" 200 6170
[01/Mar/2018 12:54:47] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[01/Mar/2018 12:54:47] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
[01/Mar/2018 12:54:47] "GET /static/admin/js/core.js HTTP/1.1" 200 7134
[01/Mar/2018 12:54:47] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6897
[01/Mar/2018 12:54:47] "GET /static/admin/js/actions.js HTTP/1.1" 200 6502
